time,room,h_interface,T_upper,T_lower
0,1F_Room1,2.9051216799028885,306.91409067217387,292.8295524283805
1,1F_Room1,2.880218818263864,309.85917692148143,292.7429335506752
2,1F_Room1,2.8693020638026416,311.304586443474,292.6968600564432
3,1F_Room1,2.8638984219241195,312.0533798575647,292.6720429968799
4,1F_Room1,2.861092398891798,312.45080701200067,292.65860620069884
5,1F_Room1,2.8596025903772824,312.6642761613006,292.65131324875574
6,1F_Room1,2.8588030499377997,312.7796410140155,292.6473501337422
7,1F_Room1,2.858371859508568,312.8421873332348,292.64519521286064
8,1F_Room1,2.8581390236633903,312.876154370555,292.64402314483965
9,1F_Room1,2.858013514304025,312.89461690923406,292.6433855675481
10,1F_Room1,2.8579462257310637,312.9046565445859,292.64303872045383
11,1F_Room1,2.8579105625582533,312.9101171433426,292.6428500281898
12,1F_Room1,2.857892090483935,312.91308750190944,292.64274737384267
13,1F_Room1,2.857882966736092,312.91470334813516,292.6426915253958
14,1F_Room1,2.8578789275110545,312.9155823793371,292.6426611400487
15,1F_Room1,2.857877654046853,312.91606059162496,292.6426446070555
16,1F_Room1,2.857877885147359,312.91632075984677,292.6426356100944
17,1F_Room1,2.8578789347801616,312.91646231147683,292.6426307130709
18,1F_Room1,2.857880429757003,312.9165393341316,292.6426280467393
19,1F_Room1,2.8578821670625874,312.9165812509995,292.6426265942091
20,1F_Room1,2.8578840362509377,312.9166040681365,292.6426258022624
21,1F_Room1,2.857885977232388,312.9166164928986,292.6426253699146
22,1F_Room1,2.8578879573111,312.9166232622775,292.64262513339605
23,1F_Room1,2.857889958694072,312.9166269534433,292.64262500358456
24,1F_Room1,2.857891971696263,312.9166289686319,292.64262493196986
25,1F_Room1,2.8578939910442185,312.9166300708979,292.64262489213866
26,1F_Room1,2.8578960138651786,312.916630675552,292.6426248697022
27,1F_Room1,2.857898038593059,312.9166310087001,292.64262485681667
28,1F_Room1,2.857900064373194,312.9166311934898,292.6426248492013
29,1F_Room1,2.8579020907384134,312.9166312970326,292.64262484451626
30,1F_Room1,2.857904117432743,312.91663135593353,292.6426248414796
31,1F_Room1,2.857906144315419,312.9166313901834,292.64262483938614
32,1F_Room1,2.857908171308611,312.91663141071973,292.64262483784626
33,1F_Room1,2.857910198368935,312.9166314235432,292.6426248366426
34,1F_Room1,2.857912225471914,312.91663143195893,292.64262483565255
35,1F_Room1,2.8579142526034946,312.9166314377983,292.64262483480576
36,1F_Room1,2.8579162797554076,312.9166314420847,292.64262483406077
37,1F_Room1,2.8579183069226204,312.9166314453972,292.6426248333924
38,1F_Room1,2.8579203341019386,312.91663144806927,292.6426248327847
39,1F_Room1,2.85792236129123,312.91663145029787,292.64262483222694
40,1F_Room1,2.857924388488995,312.9166314522028,292.6426248317116
41,1F_Room1,2.857926415694119,312.91663145386,292.64262483123315
42,1F_Room1,2.857928442905738,312.91663145532,292.6426248307872
43,1F_Room1,2.8579304701231525,312.91663145661795,292.64262483037027
44,1F_Room1,2.857932497345782,312.91663145777954,292.64262482997947
45,1F_Room1,2.8579345245731322,312.9166314588245,292.6426248296123
46,1F_Room1,2.8579365518047766,312.91663145976827,292.64262482926665
47,1F_Room1,2.8579385790403418,312.91663146062353,292.64262482894065
48,1F_Room1,2.857940606279499,312.91663146140087,292.6426248286326
49,1F_Room1,2.857942633521957,312.91663146210914,292.6426248283411
50,1F_Room1,2.8579446607674552,312.91663146275596,292.64262482806487
51,1F_Room1,2.85794668801576,312.91663146334787,292.64262482780265
52,1F_Room1,2.8579487152666627,312.9166314638906,292.64262482755345
53,1F_Room1,2.8579507425199733,312.9166314643891,292.6426248273163
54,1F_Room1,2.857952769775521,312.9166314648478,292.64262482709034
55,1F_Room1,2.857954797033151,312.9166314652705,292.64262482687485
56,1F_Room1,2.857956824292721,312.9166314656606,292.6426248266691
57,1F_Room1,2.8579588515541032,312.9166314660212,292.64262482647234
58,1F_Room1,2.8579608788171806,312.9166314663549,292.64262482628413
59,1F_Room1,2.857962906081845,312.9166314666641,292.6426248261038
60,1F_Room1,2.8579649333479975,312.916631466951,292.642624825931
61,1F_Room1,2.857966960615548,312.9166314672175,292.6426248257652
62,1F_Room1,2.857968987884413,312.9166314674653,292.642624825606
63,1F_Room1,2.8579710151545163,312.916631467696,292.64262482545297
64,1F_Room1,2.857973042425786,312.9166314679109,292.64262482530575
65,1F_Room1,2.857975069698157,312.91663146811135,292.64262482516403
66,1F_Room1,2.8579770969715685,312.9166314682985,292.64262482502755
67,1F_Room1,2.857979124245964,312.91663146847327,292.642624824896
68,1F_Room1,2.857981151521291,312.9166314686367,292.64262482476914
69,1F_Room1,2.8579831787975007,312.91663146878966,292.6426248246467
70,1F_Room1,2.8579852060745474,312.91663146893285,292.6426248245284
71,1F_Room1,2.85798723335239,312.916631469067,292.6426248244141
72,1F_Room1,2.857989260630988,312.91663146919285,292.6426248243036
73,1F_Room1,2.857991287910304,312.9166314693109,292.6426248241967
74,1F_Room1,2.8579933151903054,312.91663146942176,292.6426248240932
75,1F_Room1,2.8579953424709577,312.9166314695259,292.642624823993
76,1F_Room1,2.8579973697522316,312.9166314696238,292.6426248238959
77,1F_Room1,2.8579993970340984,312.91663146971575,292.6426248238018
78,1F_Room1,2.8580014243165315,312.9166314698023,292.6426248237105
79,1F_Room1,2.858003451599505,312.9166314698838,292.6426248236219
80,1F_Room1,2.8580054788829954,312.91663146996046,292.64262482353587
81,1F_Room1,2.8580075061669814,312.9166314700327,292.64262482345237
82,1F_Room1,2.85800953345144,312.9166314701008,292.6426248233712
83,1F_Room1,2.858011560736353,312.91663147016493,292.6426248232923
84,1F_Room1,2.8580135880217012,312.9166314702254,292.6426248232156
85,1F_Room1,2.8580156153074663,312.9166314702825,292.642624823141
86,1F_Room1,2.858017642593632,312.9166314703363,292.6426248230684
87,1F_Room1,2.8580196698801816,312.91663147038713,292.6426248229977
88,1F_Room1,2.8580216971671013,312.916631470435,292.64262482292884
89,1F_Room1,2.858023724454376,312.91663147048024,292.64262482286176
90,1F_Room1,2.858025751741992,312.91663147052293,292.6426248227964
91,1F_Room1,2.8580277790299364,312.91663147056323,292.64262482273267
92,1F_Room1,2.8580298063181973,312.91663147060126,292.64262482267054
93,1F_Room1,2.8580318336067623,312.9166314706372,292.64262482260995
94,1F_Room1,2.8580338608956217,312.9166314706711,292.64262482255083
95,1F_Room1,2.8580358881847636,312.9166314707032,292.64262482249313
96,1F_Room1,2.858037915474178,312.9166314707335,292.6426248224368
97,1F_Room1,2.8580399427638565,312.91663147076207,292.6426248223818
98,1F_Room1,2.858041970053789,312.91663147078907,292.642624822328
99,1F_Room1,2.8580439973439673,312.91663147081454,292.6426248222755
100,1F_Room1,2.8580460246343824,312.9166314708386,292.64262482222415
101,1F_Room1,2.8580480519250266,312.91663147086126,292.64262482217396
102,1F_Room1,2.858050079215893,312.9166314708827,292.6426248221249
103,1F_Room1,2.8580521065069737,312.91663147090287,292.6426248220769
104,1F_Room1,2.8580541337982615,312.9166314709219,292.64262482203
105,1F_Room1,2.85805616108975,312.9166314709399,292.64262482198404
106,1F_Room1,2.858058188381433,312.9166314709568,292.6426248219391
107,1F_Room1,2.8580602156733037,312.9166314709728,292.642624821895
108,1F_Room1,2.8580622429653575,312.9166314709878,292.6426248218519
109,1F_Room1,2.8580642702575876,312.91663147100195,292.64262482180965
110,1F_Room1,2.8580662975499895,312.91663147101525,292.64262482176827
111,1F_Room1,2.8580683248425576,312.9166314710277,292.64262482172774
112,1F_Room1,2.858070352135287,312.9166314710394,292.642624821688
113,1F_Room1,2.8580723794281724,312.9166314710504,292.64262482164906
114,1F_Room1,2.85807440672121,312.9166314710607,292.64262482161087
115,1F_Room1,2.8580764340143947,312.9166314710704,292.6426248215734
116,1F_Room1,2.858078461307723,312.9166314710794,292.6426248215367
117,1F_Room1,2.858080488601191,312.9166314710879,292.64262482150065
118,1F_Room1,2.8580825158947936,312.91663147109574,292.6426248214653
119,1F_Room1,2.858084543188528,312.91663147110313,292.64262482143056
120,1F_Room1,2.8580865704823903,312.91663147110995,292.6426248213965
121,1F_Room1,2.858088597776377,312.91663147111626,292.6426248213631
122,1F_Room1,2.8580906250704836,312.9166314711222,292.64262482133023
123,1F_Room1,2.858092652364709,312.91663147112763,292.642624821298
124,1F_Room1,2.8580946796590485,312.91663147113263,292.64262482126634
125,1F_Room1,2.8580967069535004,312.91663147113724,292.6426248212352
126,1F_Room1,2.85809873424806,312.91663147114144,292.6426248212046
127,1F_Room1,2.8581007615427256,312.9166314711453,292.64262482117454
128,1F_Room1,2.8581027888374946,312.9166314711488,292.642624821145
129,1F_Room1,2.858104816132364,312.91663147115196,292.64262482111593
130,1F_Room1,2.8581068434273313,312.91663147115474,292.6426248210874
131,1F_Room1,2.8581088707223943,312.91663147115725,292.6426248210593
132,1F_Room1,2.85811089801755,312.9166314711595,292.64262482103175
133,1F_Room1,2.8581129253127964,312.9166314711615,292.64262482100463
134,1F_Room1,2.8581149526081315,312.9166314711632,292.6426248209779
135,1F_Room1,2.8581169799035524,312.9166314711647,292.64262482095165
136,1F_Room1,2.8581190071990585,312.91663147116594,292.6426248209258
137,1F_Room1,2.858121034494647,312.9166314711669,292.6426248209004
138,1F_Room1,2.8581230617903155,312.91663147116765,292.64262482087537
139,1F_Room1,2.858125089086062,312.9166314711682,292.64262482085076
140,1F_Room1,2.8581271163818855,312.9166314711686,292.6426248208265
141,1F_Room1,2.858129143677784,312.9166314711688,292.6426248208026
142,1F_Room1,2.8581311709737554,312.9166314711687,292.6426248207791
143,1F_Room1,2.858133198269798,312.91663147116856,292.64262482075594
144,1F_Room1,2.8581352255659107,312.9166314711682,292.64262482073315
145,1F_Room1,2.858137252862092,312.9166314711677,292.6426248207107
146,1F_Room1,2.8581392801583396,312.9166314711671,292.6426248206886
147,1F_Room1,2.8581413074546527,312.9166314711663,292.64262482066675
148,1F_Room1,2.8581433347510297,312.9166314711653,292.64262482064527
149,1F_Room1,2.858145362047469,312.9166314711642,292.6426248206241
150,1F_Room1,2.8581473893439693,312.916631471163,292.64262482060326
151,1F_Room1,2.8581494166405292,312.9166314711617,292.6426248205827
152,1F_Room1,2.858151443937148,312.9166314711602,292.6426248205624
153,1F_Room1,2.858153471233824,312.91663147115867,292.6426248205424
154,1F_Room1,2.858155498530556,312.916631471157,292.64262482052266
155,1F_Room1,2.858157525827343,312.9166314711552,292.6426248205032
156,1F_Room1,2.858159553124183,312.9166314711534,292.64262482048406
157,1F_Room1,2.8581615804210765,312.91663147115145,292.6426248204652
158,1F_Room1,2.858163607718021,312.9166314711494,292.64262482044654
159,1F_Room1,2.8581656350150166,312.91663147114724,292.6426248204282
160,1F_Room1,2.858167662312061,312.9166314711451,292.64262482041005
161,1F_Room1,2.8581696896091544,312.9166314711428,292.64262482039214
162,1F_Room1,2.8581717169062952,312.9166314711405,292.64262482037446
163,1F_Room1,2.8581737442034822,312.9166314711381,292.642624820357
164,1F_Room1,2.8581757715007154,312.9166314711356,292.6426248203398
165,1F_Room1,2.8581777987979935,312.91663147113303,292.6426248203228
166,1F_Room1,2.858179826095315,312.9166314711304,292.642624820306
167,1F_Room1,2.8581818533926797,312.91663147112774,292.6426248202895
168,1F_Room1,2.8581838806900866,312.9166314711251,292.64262482027317
169,1F_Room1,2.858185907987535,312.91663147112234,292.642624820257
170,1F_Room1,2.8581879352850246,312.9166314711195,292.6426248202411
171,1F_Room1,2.858189962582554,312.91663147111666,292.6426248202254
172,1F_Room1,2.8581919898801216,312.91663147111376,292.6426248202099
173,1F_Room1,2.8581940171777283,312.9166314711108,292.64262482019456
174,1F_Room1,2.8581960444753722,312.91663147110785,292.64262482017944
175,1F_Room1,2.8581980717730535,312.91663147110484,292.6426248201645
176,1F_Room1,2.858200099070771,312.9166314711018,292.6426248201497
177,1F_Room1,2.8582021263685244,312.91663147109875,292.6426248201351
178,1F_Room1,2.8582041536663128,312.9166314710956,292.64262482012066
179,1F_Room1,2.8582061809641357,312.9166314710925,292.6426248201064
